Location Name,Location Num,Operator,Type,State,Open Date
Alameda Avenue FSU,02347,Karen Arangua,FSU,CO,11-Dec
Alamo Ranch Marketplace DTO,02141,Greg Patterson,DTO,TX,8-Dec
Albany FSU,04090,K. J. Wari,FSU,GA,18-Nov
Albemarle FSU,04251,Tyler Bruce,FSU,NC,19-Mar
Albemarle Road FSU,00789,Hal Queen,FSU,NC,Apr-99
Alden Bridge Village Center FSU,01070,Kendrick Skipper,FSU,TX,Sep-99
Alexander City [AL] FSU,04906,Lois Ann Murphree,FSU,AL,21-Nov
Alexandria Mall,00001,Jason Hartmann,MALL,LA,Aug-86
Algiers FSU,04660,Sarah Triplett,FSU,LA,23-Jan
Algonquin (IL) FSU,04756,JD Willis,FSU,IL,21-Dec
Alice [TX] FSU,05411,Michael Kandler,FSU,TX,23-Dec
Alico Road FSU,02002,Kevin van der Kooy,FSU,FL,9-Apr
Aliso Viejo In-Line DT,02564,David Nesson,FSU,CA,11-Sep
Allen Park (MI) FSU,04258,Brad Lunsford,FSU,MI,20-Jan
Alliance (OH) FSU,05811,Dan Brandenstein,FSU,OH,25-Sep
Alliance Town Center FSU,02715,Scott Pleasants,FSU,TX,10-Oct
Alma School & Southern DTO,05202,Travis Cranford,DTO,AZ,24-Jun
Alon Town Center FSU,03667,Ryan Roberts,FSU,TX,16-Jul
Alpharetta Commons FSU,00686,John Moraitakis,FSU,GA,Nov-97
Alpine Avenue (MI) FSU,05073,Todd Shane,FSU,MI,23-Sep
Altamesa and McCart FSU,02810,Isaac Demers,FSU,TX,11-Nov
Altamonte Mall,00010,Chase Castellano,MALL,FL,Aug-74
Altamonte Springs FSU,03846,Frank Yurchak,FSU,FL,18-Nov
Altoona FSU,03858,Mike Burgmeier,FSU,PA,17-Mar
Altus [OK] FSU,05458,Chris Griffin,FSU,OK,23-Sep
Alvin (TX) FSU,04376,Craig Newman,FSU,TX,20-Mar
Amarillo at Gem Lake Road FSU,03452,Lisa LaMarca,FSU,TX,16-Jun
Amelia Island FSU,01675,Lita Fannin,FSU,FL,4-Jul
American Fork FSU,02575,Dusty Pyne,FSU,UT,10-Aug
Americus [GA] FSU,05115,MeriBeth McNeill,FSU,GA,22-Nov
Ames FSU,03589,Tari Thompson,FSU,IA,15-Oct
Ammon FSU,02789,Lauren Mosteller,FSU,ID,11-Dec
Anderson (IN) FSU,05437,John Traeger,FSU,IN,24-Oct
Anderson FSU,01957,Chuck Perkins,FSU,OH,6-Nov
Anderson Pavilion FSU,01797,Jon Holmes,FSU,SC,5-Mar
Ankeny FSU,03303,Thomas Krogman,FSU,IA,14-Sep
Ann Street FSU,01853,Stuart Rogers,FSU,AL,6-Dec
Anna Town Center FSU,04191,Hunter Clinton,FSU,TX,20-Apr
Annandale FSU,03863,Eric Brommer,FSU,VA,22-Apr
Annapolis FSU,03540,Michael Edmonds,FSU,MD,16-Oct
Annapolis Mall,00008,Michael Edmonds,MALL,MD,Aug-80
Anne Arundel Community College OCV,04589,Chris Schenck,SAT,MD,21-Aug
Antioch at Lone Tree Way FSU,05122,Evan Hawthorne,FSU,CA,25-Apr
Apex FSU,01588,Tony Holmes,FSU,NC,5-Jun
Apopka FSU,04571,Melanie Holland,FSU,FL,23-Nov
Appalachian State University OCV,05843,Terese Fogleman,SAT,NC,25-Aug
Apple Blossom Mall,00004,Keri Mounts,MALL,VA,Dec-83
Apple Valley FSU,03158,Ryan Blanch,FSU,MN,13-Nov
Appleby Crossing FSU,30022,Wesley Lyon,FSU,ON,24-Oct
Appleton FSU,04225,Eric Krebs,FSU,WI,19-Aug
Aramingo FSU,02177,Dan Mills,FSU,PA,10-Mar
Arbor Place,00648,Trey Strickland,MALL,GA,Oct-99
Arboretum FSU,00837,Justin Riddle,FSU,NC,Dec-91
Arcadia FSU,03091,Matthew Richardson,FSU,AZ,13-Dec
